net,length_um
_01351_,1.16001mm
_01034_,1.03376mm
_01032_,875.92µm
_01035_,850.48µm
_00822_,813.52µm
net82,806.69µm
_01357_,786.99µm
_09268_,761.53µm
_03641_,757.8µm
net2077,740.345µm
_01039_,723.3µm
uo_out[5],717.14µm
net85,708.4µm
net32,708.11µm
net86,686.36µm
_01348_,676.42µm
_03769_,670.6µm
u_aes128_baseline.u_aes_core.state_reg\[35\],669.22µm
_00799_,667.72µm
_08989_,665.12µm
net84,662.01µm
net92,661.35µm
_08835_,651.31µm
_01037_,648.04µm
_08162_,644.51µm
key_reg\[99\],637.4µm
net96,629.92µm
_08872_,629.11µm
_01036_,627.53µm
u_aes128_baseline.u_aes_core.state_reg\[81\],623.34µm
net83,620.57µm
_08704_,617.17µm
clknet_0_clk,615.21µm
net18,613.06µm
clk,610.85µm
net178,605.73µm
_09359_,603.46µm
net91,601.44µm
_02684_,591.47µm
net901,590.03µm
_09340_,589.76µm
net21,582.95µm
net19,581.14µm
_09270_,578.83µm
net23,575.47µm
u_aes128_baseline.u_aes_core.state_reg\[42\],566.68µm
_07573_,564.39µm
_01038_,564.37µm
net90,561.35µm
_09206_,552.41µm
net1628,550.695µm
_09264_,546.86µm
_00818_,546µm
_02996_,544.015µm
net899,539.42µm
_00834_,525.48µm
_04347_,522.92µm
_02515_,521.105µm
uo_out[2],519.74µm
_09288_,518.41µm
_04076_,516.6µm
_04195_,513.44µm
u_aes128_baseline.u_aes_core.state_reg\[26\],510.84µm
_09214_,507.49µm
_02929_,506.16µm
net44,504.32µm
net24,500.9µm
_07595_,496.43µm
u_aes128_baseline.u_aes_core.state_reg\[33\],493.74µm
net373,491.76µm
_01030_,491.28µm
done_latched,488.92µm
_09361_,487.16µm
_01355_,485.05µm
net89,484.99µm
_01356_,484.64µm
net1060,482.165µm
_03363_,481.32µm
_03776_,481.3µm
_02870_,480.56µm
_01050_,479.29µm
_09248_,478.73µm
_09334_,475.52µm
_04459_,474.75µm
_09276_,471.5µm
_09278_,470.28µm
plaintext_reg\[100\],468.075µm
_01566_,467.71µm
uo_out[1],467.12µm
clknet_leaf_14_clk,466.78µm
_09338_,465.84µm
_01204_,463.3µm
net16,461.4µm
_03919_,459.37µm
u_aes128_baseline.u_aes_core.state_reg\[121\],459.12µm
net20,458.16µm
u_aes128_baseline.u_aes_core.state_reg\[123\],458.11µm
_01049_,455.85µm
_03536_,455.38µm
_07516_,453.25µm
_09212_,451.74µm
uo_out[4],450.58µm
net354,448.76µm
u_aes128_baseline.u_aes_core.state_reg\[34\],448.69µm
clknet_3_7_0_clk,448.39µm
u_aes128_baseline.u_aes_core.round_key_reg\[20\],448.02µm
net235,444.91µm
uo_out[3],444.33µm
uo_out[6],444.05µm
_09204_,443.44µm
_02715_,443.4µm
ciphertext_reg\[108\],442.94µm
_09053_,439.8µm
net95,439.76µm
_09184_,439.325µm
_07569_,438.91µm
_06912_,438.28µm
_03613_,437.555µm
uo_out[7],435.51µm
uo_out[0],434.61µm
net42,433.82µm
_09332_,433.135µm
_09304_,432.4µm
u_aes128_baseline.u_aes_core.state_reg\[25\],431.26µm
_03028_,430.34µm
net136,429.69µm
_09202_,427.42µm
net965,425µm
key_reg\[100\],422.57µm
_08776_,416.92µm
net145,416.86µm
u_aes128_baseline.u_aes_core.state_reg\[122\],416.73µm
u_aes128_baseline.u_aes_core.state_reg\[126\],413.74µm
u_aes128_baseline.u_aes_core.round_key_reg\[21\],413.2µm
_09252_,410.23µm
_09348_,406.66µm
_09208_,406.27µm
net1620,405.11µm
net143,404.49µm
key_reg\[1\],403.79µm
u_aes128_baseline.u_aes_core.state_reg\[125\],402.5µm
u_aes128_baseline.u_aes_core.state_reg\[28\],401.63µm
_05332_,400.88µm
net22,400.42µm
net98,397.74µm
u_aes128_baseline.u_aes_core.state_reg\[127\],397.66µm
net1646,397.34µm
u_aes128_baseline.u_aes_core.state_reg\[31\],397.13µm
key_reg\[97\],396.69µm
ciphertext_reg\[117\],395.76µm
_04859_,395.34µm
net1976,393.56µm
_02133_,391.76µm
u_aes128_baseline.u_aes_core.state_reg\[32\],391.28µm
net1988,390.84µm
u_aes128_baseline.u_aes_core.round_key_reg\[17\],390.74µm
plaintext_reg\[97\],390.62µm
_01347_,389.58µm
net109,389.45µm
ciphertext_reg\[127\],388.56µm
_05402_,388.39µm
clknet_3_5_0_clk,388.32µm
_09244_,388.06µm
net1377,387.81µm
net97,387.59µm
_01350_,384.61µm
net944,383.88µm
net81,383.67µm
_09196_,383.5µm
_08485_,382.52µm
_02390_,381.48µm
_08807_,379.65µm
_08323_,378.61µm
net1989,376.67µm
_09187_,376.09µm
_08158_,375.96µm
net372,375.83µm
net1127,375.82µm
net25,374.86µm
_00820_,374.04µm
_01033_,373.09µm
_00859_,372.84µm
_03643_,372.81µm
net1635,370.845µm
uio_out[5],370.47µm
_09246_,369.46µm
_07526_,369.3µm
net587,368.95µm
_05713_,367.56µm
_09198_,367.5µm
_07623_,364.38µm
net146,363.51µm
u_aes128_baseline.u_aes_core.state_reg\[24\],363.29µm
net1647,362.865µm
_01029_,362.11µm
net1188,359.42µm
_03464_,358.86µm
_03633_,358.08µm
_08929_,357.87µm
net370,355.32µm
u_aes128_baseline.u_aes_core.state_reg\[15\],354.88µm
_03405_,353.32µm
net646,349.12µm
net608,348.83µm
net1378,348.56µm
_09254_,345.78µm
plaintext_reg\[101\],345.6µm
net353,345.38µm
net878,345.2µm
_01364_,343.17µm
clknet_3_4_0_clk,342.54µm
net198,342.37µm
_00870_,341.98µm
net3,341.44µm
net860,341.01µm
_00801_,340.04µm
_03246_,339.92µm
_04306_,339.72µm
_08899_,339.64µm
_09188_,337.8µm
u_aes128_baseline.u_aes_core.round_key_reg\[5\],337.73µm
_09190_,337.66µm
_08204_,336.84µm
_05874_,336.54µm
_05911_,334.63µm
clknet_3_2_0_clk,334.36µm
_03541_,333.86µm
_02262_,333µm
net2044,332.71µm
clknet_3_6_0_clk,331.05µm
plaintext_reg\[99\],330µm
net255,328.895µm
_01384_,328.31µm
net2079,327.7µm
net775,327.63µm
_09282_,327.08µm
_06592_,326.04µm
net603,325.31µm
u_aes128_baseline.u_aes_core.state_reg\[77\],324.12µm
net1944,323.7µm
_01863_,321.82µm
net220,321.57µm
_02612_,320.22µm
u_aes128_baseline.u_aes_core.round_key_reg\[9\],318.02µm
_03600_,317.56µm
_00836_,317.55µm
clknet_3_0_0_clk,316.94µm
net2078,316.15µm
_05805_,315.6µm
_09300_,314.72µm
_03958_,314.02µm
net1010,310.355µm
_01376_,310.235µm
key_reg\[4\],309.705µm
_03209_,308.64µm
_04962_,307.55µm
plaintext_reg\[24\],307.48µm
_09186_,307.2µm
net107,307.05µm
net302,306.85µm
_07324_,306.81µm
_09210_,306.8µm
_07481_,304.78µm
_09200_,304.16µm
net276,304.14µm
_09298_,303.14µm
net254,303.01µm
_04422_,302.06µm
_09314_,301.86µm
_03498_,301.68µm
net854,301.5µm
net992,300.91µm
_03682_,300.58µm
_09330_,300.25µm
key_reg\[24\],299.49µm
_00866_,299.02µm
net278,298.345µm
_03455_,297.8µm
clknet_3_1_0_clk,297.29µm
net1990,296.41µm
_05469_,295.39µm
_00874_,294.82µm
_09346_,294.56µm
net497,294.28µm
net478,294.12µm
_05837_,294.06µm
u_aes128_baseline.u_aes_core.state_reg\[27\],293.74µm
u_aes128_baseline.u_aes_core.state_reg\[45\],293.62µm
u_aes128_baseline.u_aes_core.state_reg\[89\],293.54µm
net907,293.4µm
_08513_,293.33µm
_05498_,292.43µm
_00861_,291.14µm
_04385_,290.5µm
u_aes128_baseline.u_aes_core.round_key_reg\[10\],288.19µm
net1398,287.55µm
_03608_,287.49µm
_05336_,287.48µm
net601,287.36µm
net619,287.36µm
u_aes128_baseline.u_aes_core.state_reg\[99\],287.18µm
net1204,286.34µm
_01612_,285.8µm
net520,285.74µm
net1975,284.01µm
_07290_,283.13µm
_09250_,282.7µm
net1353,282.6µm
_09274_,282.52µm
net137,282.07µm
key_reg\[101\],281.43µm
_00803_,280.54µm
_00807_,279.34µm
_07730_,279.06µm
u_aes128_baseline.u_aes_core.round_key_reg\[6\],278.86µm
_01812_,278.81µm
_07521_,276.88µm
net243,276.66µm
net908,276.315µm
_05653_,275.5µm
net328,274.015µm
_04082_,273.84µm
plaintext_reg\[4\],273.74µm
net493,273.735µm
net1900,272.57µm
_00868_,272.42µm
u_aes128_baseline.u_aes_core.round_key_reg\[18\],271.97µm
net863,271.73µm
_03053_,270.98µm
plaintext_reg\[102\],270.86µm
_07500_,270.74µm
net366,270.08µm
ciphertext_reg\[4\],269.4µm
_01379_,269.31µm
net774,268.97µm
net876,268.67µm
key_reg\[102\],268.55µm
net208,268.27µm
_05924_,267.9µm
_02683_,267.86µm
_03700_,267.79µm
net395,267.58µm
_04654_,267.32µm
_09194_,267.32µm
net1033,267.28µm
net252,266.36µm
_03735_,265.94µm
_07098_,265.9µm
_09316_,265.9µm
_01233_,265.74µm
_09192_,265.52µm
net784,265.425µm
clknet_leaf_1_clk,265.2µm
ciphertext_reg\[113\],264.62µm
u_aes128_baseline.u_aes_core.state_reg\[29\],264.34µm
net598,264.14µm
_04758_,262.93µm
net501,262.81µm
_08737_,262.68µm
net142,262.22µm
u_aes128_baseline.u_aes_core.round_key_reg\[2\],261.66µm
net385,261.63µm
_09183_,261.24µm
net1160,261.02µm
net538,259.94µm
clknet_leaf_37_clk,259.6µm
net4,259.48µm
net555,259.425µm
_03671_,258.95µm
_07863_,258.71µm
net381,258.62µm
key_reg\[27\],258.56µm
net785,258.47µm
_07839_,258.32µm
clknet_3_3_0_clk,258.31µm
_06402_,258.25µm
net776,258.04µm
_01254_,257.31µm
net419,257.23µm
_04099_,256.31µm
_02743_,256.23µm
u_aes128_baseline.u_aes_core.state_reg\[78\],256.16µm
_00816_,255.84µm
_03747_,255.29µm
ciphertext_reg\[123\],255.28µm
_01211_,254.77µm
_02023_,254.71µm
_00895_,254.66µm
net326,254.23µm
net444,253.41µm
_06415_,252.57µm
net696,252.18µm
_08479_,252.08µm
_09238_,252.06µm
net656,251.92µm
net277,251.66µm
_06556_,251.39µm
net1443,251.26µm
_01283_,251.17µm
key_reg\[96\],251.04µm
net186,250.58µm
net1020,250.52µm
u_aes128_baseline.u_aes_core.round_key_reg\[23\],250.33µm
ciphertext_reg\[119\],249.99µm
net265,249.82µm
net903,249.69µm
_01795_,249.63µm
net546,249.125µm
clknet_leaf_36_clk,249.06µm
u_aes128_baseline.u_aes_core.state_reg\[7\],248.32µm
_00838_,248.1µm
net100,248.04µm
net889,247.78µm
ciphertext_reg\[60\],247.72µm
net632,247.315µm
_05098_,247.18µm
ciphertext_reg\[5\],244.79µm
net508,244.19µm
net397,243.99µm
net433,243.81µm
u_aes128_baseline.u_aes_core.state_reg\[43\],243.78µm
_01988_,243.685µm
net1093,243.58µm
net865,243.49µm
plaintext_reg\[96\],243.17µm
_01284_,243.11µm
_09312_,243.1µm
u_aes128_baseline.u_aes_core.state_reg\[91\],242.79µm
_07580_,242µm
net773,241.965µm
plaintext_reg\[51\],241.7µm
net6,241.26µm
net350,241.255µm
net9,241.24µm
_03569_,241.16µm
_01302_,240.97µm
net684,240.945µm
_09242_,240.86µm
_03689_,240.625µm
_09266_,240.32µm
_04902_,240.3µm
net635,240.165µm
_04663_,239.81µm
ciphertext_reg\[112\],239.68µm
_05186_,239.58µm
_07632_,239.26µm
_01723_,239.22µm
net275,239.2µm
_06416_,238.74µm
_02014_,238.695µm
net457,238.39µm
_07069_,238.31µm
net5,238.22µm
net549,238.115µm
net698,237.94µm
_04381_,237.66µm
net467,237.47µm
_04669_,237.42µm
net847,236.8µm
net247,236.72µm
net45,236.44µm
net93,236.38µm
_08957_,236.2µm
net211,235.915µm
_07551_,235.84µm
net452,235.74µm
clknet_leaf_27_clk,235.66µm
