Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_80_2978,VPWR,li1,1373.3300,223.0400,1.800000
FILLER_80_2975,VPWR,li1,1371.9500,223.0400,1.800000
FILLER_80_2972,VPWR,li1,1370.5700,223.0400,1.800000
FILLER_80_2969,VPWR,li1,1369.1900,223.0400,1.800000
FILLER_80_2965,VPWR,li1,1367.3500,223.0400,1.800000
FILLER_80_2962,VPWR,li1,1365.9700,223.0400,1.800000
FILLER_80_2959,VPWR,li1,1364.5900,223.0400,1.800000
FILLER_80_2956,VPWR,li1,1363.2100,223.0400,1.800000
FILLER_80_2953,VPWR,li1,1361.8300,223.0400,1.800000
FILLER_80_2950,VPWR,li1,1360.4500,223.0400,1.800000
FILLER_80_2947,VPWR,li1,1359.0700,223.0400,1.800000
FILLER_80_2944,VPWR,li1,1357.6900,223.0400,1.800000
FILLER_80_2941,VPWR,li1,1356.3100,223.0400,1.800000
FILLER_80_2937,VPWR,li1,1354.4700,223.0400,1.800000
FILLER_80_2934,VPWR,li1,1353.0900,223.0400,1.800000
FILLER_80_2931,VPWR,li1,1351.7100,223.0400,1.800000
FILLER_80_2928,VPWR,li1,1350.3300,223.0400,1.800000
FILLER_80_2925,VPWR,li1,1348.9500,223.0400,1.800000
FILLER_80_2922,VPWR,li1,1347.5700,223.0400,1.800000
FILLER_80_2919,VPWR,li1,1346.1900,223.0400,1.800000
FILLER_80_2916,VPWR,li1,1344.8100,223.0400,1.800000
FILLER_80_2913,VPWR,li1,1343.4300,223.0400,1.800000
FILLER_80_2909,VPWR,li1,1341.5900,223.0400,1.800000
FILLER_80_2906,VPWR,li1,1340.2100,223.0400,1.800000
FILLER_80_2903,VPWR,li1,1338.8300,223.0400,1.800000
FILLER_80_2900,VPWR,li1,1337.4500,223.0400,1.800000
FILLER_80_2897,VPWR,li1,1336.0700,223.0400,1.800000
FILLER_80_2894,VPWR,li1,1334.6900,223.0400,1.800000
FILLER_80_2891,VPWR,li1,1333.3100,223.0400,1.800000
FILLER_80_2888,VPWR,li1,1331.9300,223.0400,1.800000
FILLER_80_2885,VPWR,li1,1330.5500,223.0400,1.800000
FILLER_80_2881,VPWR,li1,1328.7100,223.0400,1.800000
FILLER_80_2878,VPWR,li1,1327.3300,223.0400,1.800000
