net,length_um
_01035_,1.15015mm
_01032_,1.03436mm
_01034_,920.76µm
clk,913.18µm
_01351_,900.17µm
done_latched,879.19µm
_01204_,807.32µm
_01357_,801.01µm
net32,795.14µm
net2077,767.69µm
_03641_,757.37µm
_01036_,753.21µm
_01039_,727.86µm
net90,721.78µm
uo_out[5],717.82µm
net85,716.15µm
_01348_,709.99µm
key_reg\[97\],699.38µm
_09268_,694.49µm
_01037_,691.79µm
_08872_,691.62µm
net92,668.22µm
_01356_,666.97µm
u_aes128_baseline.u_aes_core.state_reg\[35\],666.16µm
net82,664.79µm
_02684_,658.9µm
_08835_,656.07µm
net84,652.73µm
net86,648µm
_09206_,644.16µm
_08162_,643.78µm
_09212_,642.82µm
net83,642.4µm
_03769_,640.87µm
clknet_0_clk,634.28µm
_07573_,626.24µm
net18,626.02µm
_02996_,622.605µm
_08704_,615.28µm
u_aes128_baseline.u_aes_core.state_reg\[81\],607.14µm
_09359_,603.76µm
_03209_,598.54µm
net901,593.58µm
_09340_,591.02µm
net19,590.08µm
net96,588.88µm
key_reg\[100\],582.95µm
_08989_,577.23µm
_06592_,577.12µm
net23,575.06µm
_00836_,566.73µm
_00838_,549.22µm
net1628,548.435µm
_00818_,547.93µm
u_aes128_baseline.u_aes_core.state_reg\[42\],545.32µm
uo_out[2],537.33µm
net899,534.88µm
_09264_,533.86µm
_01038_,527.75µm
u_aes128_baseline.u_aes_core.state_reg\[26\],527.36µm
_04195_,519.12µm
_09288_,514.18µm
_02515_,513.815µm
_02929_,509.16µm
_01251_,508.67µm
_03363_,507.64µm
net81,500.83µm
_01355_,496.78µm
_03776_,496.02µm
net373,495.3µm
_03735_,495.23µm
u_aes128_baseline.u_aes_core.state_reg\[33\],493.98µm
clknet_leaf_14_clk,493.9µm
_01030_,489.2µm
net24,488.41µm
_09204_,486.71µm
_07595_,486.52µm
_04076_,482µm
key_reg\[99\],481.52µm
_02870_,478.7µm
_09248_,478.05µm
_09334_,475.52µm
_09278_,474.02µm
uo_out[6],471.93µm
_09361_,471.09µm
_09276_,471.02µm
_09338_,470.74µm
net20,470.52µm
plaintext_reg\[100\],469.97µm
_01566_,468.84µm
net1060,462.14µm
net16,461.52µm
_03536_,459.46µm
uo_out[3],457.59µm
u_aes128_baseline.u_aes_core.state_reg\[121\],457.08µm
net44,456.88µm
uo_out[1],456.83µm
clknet_3_7_0_clk,455.1µm
u_aes128_baseline.u_aes_core.state_reg\[123\],454.03µm
_07623_,453µm
_03919_,452.72µm
net235,451.19µm
uo_out[4],450.15µm
_04347_,449.72µm
net42,448.56µm
net178,447.54µm
u_aes128_baseline.u_aes_core.state_reg\[34\],445.29µm
net965,445.09µm
_00799_,444.98µm
_02715_,444.66µm
uo_out[7],438.09µm
_01049_,435.61µm
net95,434.66µm
_09184_,434.335µm
plaintext_reg\[97\],431.2µm
_09332_,430.1µm
uo_out[0],429.19µm
_00822_,426.19µm
_03613_,425.99µm
plaintext_reg\[4\],424.26µm
_07569_,424.15µm
_04459_,422.15µm
u_aes128_baseline.u_aes_core.state_reg\[25\],420.92µm
_09208_,418.62µm
_09202_,416.98µm
_09348_,416.82µm
u_aes128_baseline.u_aes_core.state_reg\[122\],416.73µm
_03028_,416.52µm
net1646,416.44µm
u_aes128_baseline.u_aes_core.round_key_reg\[20\],415.98µm
net98,415.22µm
_08776_,414.37µm
net354,413.61µm
u_aes128_baseline.u_aes_core.state_reg\[126\],411.815µm
_09270_,411.15µm
net145,411.11µm
u_aes128_baseline.u_aes_core.round_key_reg\[21\],410.94µm
_09304_,410.76µm
_09252_,409.06µm
key_reg\[1\],406.78µm
net136,406.46µm
_02390_,404.52µm
u_aes128_baseline.u_aes_core.state_reg\[125\],403.86µm
u_aes128_baseline.u_aes_core.state_reg\[28\],403.42µm
u_aes128_baseline.u_aes_core.state_reg\[127\],401.275µm
u_aes128_baseline.u_aes_core.state_reg\[31\],401.07µm
_05402_,399.94µm
u_aes128_baseline.u_aes_core.round_key_reg\[17\],399.58µm
net1620,398.68µm
net143,398.18µm
net1988,396.66µm
ciphertext_reg\[127\],395.36µm
_05332_,395µm
_02133_,392.78µm
net22,392.7µm
_09196_,392.56µm
net198,392.5µm
clknet_3_5_0_clk,392.265µm
net21,391.96µm
