net,length_um
net100,856.17µm
net848,737.55µm
net89,692.46µm
clknet_0_clk,676.94µm
net86,670.36µm
_3022_,652.73µm
net88,650.24µm
net85,646.82µm
net121,641.06µm
net161,630.6µm
net91,630.31µm
net162,624.39µm
net555,604.16µm
net93,599.08µm
net90,598.61µm
net87,587.52µm
_2989_,583.57µm
net92,568.87µm
net313,561.5µm
net494,559.5µm
net311,559.08µm
_2980_,554.83µm
_1809_,551.87µm
_1065_,549.735µm
output_index\[1\],548.87µm
_3012_,547.73µm
_2976_,537.4µm
net98,525.34µm
_1066_,514.11µm
net370,508.615µm
_3014_,505.24µm
net83,502.16µm
_2985_,499.59µm
net493,496.43µm
net453,496.05µm
net419,494.575µm
_1311_,481.06µm
_3024_,480.6µm
net360,478.55µm
_3023_,476.76µm
net84,465.1µm
net82,464.15µm
net519,462.445µm
_3013_,460.5µm
_2488_,459.64µm
_3018_,451.605µm
net584,446.06µm
_2181_,445.71µm
_1769_,441.4µm
net455,439.27µm
_1059_,439.15µm
net47,438.97µm
net169,433.36µm
output_index\[2\],431.3µm
net164,431.14µm
net359,422.36µm
_0003_,417.735µm
u_aes128_optimized.u_aes_core.state\[2\],416.29µm
_1302_,412.96µm
net517,410.915µm
_1068_,408.42µm
net495,407.7µm
net489,406.01µm
net15,404.32µm
net396,392.91µm
_2337_,390.91µm
net163,384.4µm
_2121_,378.16µm
_1726_,371.36µm
net443,370.01µm
net20,366.23µm
_3027_,364.92µm
net165,362.545µm
net536,360.87µm
net580,360.41µm
net6,360.14µm
_3019_,358.7µm
net418,358.135µm
net80,357.58µm
net564,355.33µm
net326,352.51µm
_1618_,348.39µm
_1615_,348.31µm
_1966_,345.735µm
net140,343.84µm
_2997_,342.66µm
_2998_,342.42µm
net608,341.745µm
net367,338.93µm
_1009_,335.88µm
net515,330.885µm
_2539_,330.31µm
net217,330.04µm
net331,329.9µm
_2973_,328.09µm
_2232_,327.885µm
net183,327.63µm
net18,323.64µm
net99,321.92µm
_2993_,321.64µm
net631,321.38µm
net437,320.98µm
net173,320.805µm
_1049_,320.365µm
_2956_,319.52µm
net9,319.3µm
net320,319.23µm
net606,316.31µm
net414,315.98µm
_1450_,315.38µm
net17,315.11µm
net159,313.81µm
net330,313.58µm
net576,313.05µm
_3021_,312.12µm
net450,311.56µm
_1611_,308.74µm
_2920_,308.73µm
net563,308.05µm
net790,307.72µm
_2386_,306.325µm
_2436_,305.8µm
net436,305.79µm
net578,304.62µm
net194,303.88µm
net488,302.95µm
net137,302.73µm
net562,301.93µm
net431,301.75µm
net632,301.545µm
net496,300.23µm
_2117_,298.79µm
net627,297.845µm
net110,297.26µm
net235,296.39µm
net626,296.24µm
net518,295.96µm
net58,295.79µm
net171,294.31µm
net440,293.3µm
_2952_,292.315µm
_2036_,292.115µm
_1622_,290.85µm
net72,290.39µm
_1548_,290.37µm
net38,287.505µm
net170,286.35µm
_2987_,286.22µm
net740,286.11µm
net315,285.68µm
