Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_80_1466,VGND,li1,677.8100,220.3200,0.000000
FILLER_80_1463,VGND,li1,676.4300,220.3200,0.000000
FILLER_80_1460,VGND,li1,675.0500,220.3200,0.000000
FILLER_80_1457,VGND,li1,673.6700,220.3200,0.000000
FILLER_80_1453,VGND,li1,671.8300,220.3200,0.000000
FILLER_80_1450,VGND,li1,670.4500,220.3200,0.000000
FILLER_80_1447,VGND,li1,669.0700,220.3200,0.000000
FILLER_80_1444,VGND,li1,667.6900,220.3200,0.000000
FILLER_80_1441,VGND,li1,666.3100,220.3200,0.000000
FILLER_80_1438,VGND,li1,664.9300,220.3200,0.000000
FILLER_80_1435,VGND,li1,663.5500,220.3200,0.000000
FILLER_80_1432,VGND,li1,662.1700,220.3200,0.000000
FILLER_80_1429,VGND,li1,660.7900,220.3200,0.000000
FILLER_80_1425,VGND,li1,658.9500,220.3200,0.000000
FILLER_80_1422,VGND,li1,657.5700,220.3200,0.000000
FILLER_80_1419,VGND,li1,656.1900,220.3200,0.000000
FILLER_80_1416,VGND,li1,654.8100,220.3200,0.000000
FILLER_80_1413,VGND,li1,653.4300,220.3200,0.000000
FILLER_80_1410,VGND,li1,652.0500,220.3200,0.000000
FILLER_80_1407,VGND,li1,650.6700,220.3200,0.000000
FILLER_80_1404,VGND,li1,649.2900,220.3200,0.000000
FILLER_80_1401,VGND,li1,647.9100,220.3200,0.000000
FILLER_80_1397,VGND,li1,646.0700,220.3200,0.000000
FILLER_80_1394,VGND,li1,644.6900,220.3200,0.000000
FILLER_80_1391,VGND,li1,643.3100,220.3200,0.000000
FILLER_80_1388,VGND,li1,641.9300,220.3200,0.000000
FILLER_80_1385,VGND,li1,640.5500,220.3200,0.000000
FILLER_80_1382,VGND,li1,639.1700,220.3200,0.000000
FILLER_80_1379,VGND,li1,637.7900,220.3200,0.000000
FILLER_80_1376,VGND,li1,636.4100,220.3200,0.000000
FILLER_80_1373,VGND,li1,635.0300,220.3200,0.000000
FILLER_80_1369,VGND,li1,633.1900,220.3200,0.000000
FILLER_80_1366,VGND,li1,631.8100,220.3200,0.000000
FILLER_80_1363,VGND,li1,630.4300,220.3200,0.000000
FILLER_80_1360,VGND,li1,629.0500,220.3200,0.000000
FILLER_80_1357,VGND,li1,627.6700,220.3200,0.000000
FILLER_80_1354,VGND,li1,626.2900,220.3200,0.000000
FILLER_80_1351,VGND,li1,624.9100,220.3200,0.000000
FILLER_80_1348,VGND,li1,623.5300,220.3200,0.000000
FILLER_80_1345,VGND,li1,622.1500,220.3200,0.000000
FILLER_80_1341,VGND,li1,620.3100,220.3200,0.000000
FILLER_80_1338,VGND,li1,618.9300,220.3200,0.000000
FILLER_80_1335,VGND,li1,617.5500,220.3200,0.000000
FILLER_80_1332,VGND,li1,616.1700,220.3200,0.000000
FILLER_80_1329,VGND,li1,614.7900,220.3200,0.000000
FILLER_80_1326,VGND,li1,613.4100,220.3200,0.000000
FILLER_80_1323,VGND,li1,612.0300,220.3200,0.000000
FILLER_80_1320,VGND,li1,610.6500,220.3200,0.000000
FILLER_80_1317,VGND,li1,609.2700,220.3200,0.000000
FILLER_80_1313,VGND,li1,607.4300,220.3200,0.000000
FILLER_80_1310,VGND,li1,606.0500,220.3200,0.000000
FILLER_80_1307,VGND,li1,604.6700,220.3200,0.000000
FILLER_80_1304,VGND,li1,603.2900,220.3200,0.000000
FILLER_80_1301,VGND,li1,601.9100,220.3200,0.000000
FILLER_80_1298,VGND,li1,600.5300,220.3200,0.000000
FILLER_80_1295,VGND,li1,599.1500,220.3200,0.000000
FILLER_80_1292,VGND,li1,597.7700,220.3200,0.000000
FILLER_80_1289,VGND,li1,596.3900,220.3200,0.000000
FILLER_80_1285,VGND,li1,594.5500,220.3200,0.000000
FILLER_80_1282,VGND,li1,593.1700,220.3200,0.000000
FILLER_80_1279,VGND,li1,591.7900,220.3200,0.000000
FILLER_80_1276,VGND,li1,590.4100,220.3200,0.000000
FILLER_80_1273,VGND,li1,589.0300,220.3200,0.000000
FILLER_80_1270,VGND,li1,587.6500,220.3200,0.000000
FILLER_80_1267,VGND,li1,586.2700,220.3200,0.000000
FILLER_80_1264,VGND,li1,584.8900,220.3200,0.000000
FILLER_80_1261,VGND,li1,583.5100,220.3200,0.000000
FILLER_80_1257,VGND,li1,581.6700,220.3200,0.000000
FILLER_80_1254,VGND,li1,580.2900,220.3200,0.000000
FILLER_80_1251,VGND,li1,578.9100,220.3200,0.000000
FILLER_80_1248,VGND,li1,577.5300,220.3200,0.000000
FILLER_80_1245,VGND,li1,576.1500,220.3200,0.000000
FILLER_80_1242,VGND,li1,574.7700,220.3200,0.000000
FILLER_80_1239,VGND,li1,573.3900,220.3200,0.000000
FILLER_80_1236,VGND,li1,572.0100,220.3200,0.000000
FILLER_80_1233,VGND,li1,570.6300,220.3200,0.000000
FILLER_80_1229,VGND,li1,568.7900,220.3200,0.000000
FILLER_80_1226,VGND,li1,567.4100,220.3200,0.000000
FILLER_80_1223,VGND,li1,566.0300,220.3200,0.000000
FILLER_80_1220,VGND,li1,564.6500,220.3200,0.000000
FILLER_80_1217,VGND,li1,563.2700,220.3200,0.000000
FILLER_80_1214,VGND,li1,561.8900,220.3200,0.000000
FILLER_80_1211,VGND,li1,560.5100,220.3200,0.000000
FILLER_80_1208,VGND,li1,559.1300,220.3200,0.000000
FILLER_80_1205,VGND,li1,557.7500,220.3200,0.000000
FILLER_80_1201,VGND,li1,555.9100,220.3200,0.000000
FILLER_80_1198,VGND,li1,554.5300,220.3200,0.000000
FILLER_80_1195,VGND,li1,553.1500,220.3200,0.000000
FILLER_80_1192,VGND,li1,551.7700,220.3200,0.000000
FILLER_80_1189,VGND,li1,550.3900,220.3200,0.000000
FILLER_80_1186,VGND,li1,549.0100,220.3200,0.000000
