┏━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┓
┃ Macro/Instance         ┃ Power Pins ┃ Disconnected ┃ Signal Pins ┃ Disconnected ┃
┡━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━╇━━━━━━━━━━━━━━┩
│ tt_um_aes128_optimized │ VPWR       │              │ clk         │ ena          │
│                        │ VGND       │              │ rst_n       │ uio_in[5]    │
│                        │            │              │ ui_in[0]    │ uio_in[6]    │
│                        │            │              │ ui_in[1]    │ uio_in[7]    │
│                        │            │              │ ui_in[2]    │              │
│                        │            │              │ ui_in[3]    │              │
│                        │            │              │ ui_in[4]    │              │
│                        │            │              │ ui_in[5]    │              │
│                        │            │              │ ui_in[6]    │              │
│                        │            │              │ ui_in[7]    │              │
│                        │            │              │ uio_in[0]   │              │
│                        │            │              │ uio_in[1]   │              │
│                        │            │              │ uio_in[2]   │              │
│                        │            │              │ uio_in[3]   │              │
│                        │            │              │ uio_in[4]   │              │
│                        │            │              │ uio_oe[0]   │              │
│                        │            │              │ uio_oe[1]   │              │
│                        │            │              │ uio_oe[2]   │              │
│                        │            │              │ uio_oe[3]   │              │
│                        │            │              │ uio_oe[4]   │              │
│                        │            │              │ uio_oe[5]   │              │
│                        │            │              │ uio_oe[6]   │              │
│                        │            │              │ uio_oe[7]   │              │
│                        │            │              │ uio_out[0]  │              │
│                        │            │              │ uio_out[1]  │              │
│                        │            │              │ uio_out[2]  │              │
│                        │            │              │ uio_out[3]  │              │
│                        │            │              │ uio_out[4]  │              │
│                        │            │              │ uio_out[5]  │              │
│                        │            │              │ uio_out[6]  │              │
│                        │            │              │ uio_out[7]  │              │
│                        │            │              │ uo_out[0]   │              │
│                        │            │              │ uo_out[1]   │              │
│                        │            │              │ uo_out[2]   │              │
│                        │            │              │ uo_out[3]   │              │
│                        │            │              │ uo_out[4]   │              │
│                        │            │              │ uo_out[5]   │              │
│                        │            │              │ uo_out[6]   │              │
│                        │            │              │ uo_out[7]   │              │
└────────────────────────┴────────────┴──────────────┴─────────────┴──────────────┘
