net,length_um
net848,731.91µm
net89,690.86µm
clknet_0_clk,688.49µm
net86,675.18µm
net88,652.47µm
net85,645.16µm
net121,641.43µm
_3022_,636.96µm
net162,630.65µm
net91,628.13µm
net93,600.92µm
net90,598.47µm
net555,598.03µm
net161,596.55µm
net87,583.44µm
net100,572.04µm
net494,567.53µm
net311,567.44µm
_3023_,566.67µm
net92,566.37µm
_3012_,566.075µm
net313,553.55µm
_1065_,550µm
net98,544.73µm
output_index\[1\],544.32µm
_1066_,527.765µm
_2976_,527.38µm
_1061_,509.74µm
net370,506.18µm
_3014_,504.54µm
net83,501.36µm
net453,501.325µm
_3018_,496.18µm
_2488_,495.31µm
_2980_,494.78µm
net419,487.925µm
_3024_,487.595µm
net493,486.02µm
net436,480.12µm
_1311_,479.63µm
_2985_,477.37µm
_1068_,476.69µm
_1313_,474.76µm
net82,472.63µm
net84,472.34µm
net169,457.98µm
_3013_,457.955µm
net519,456.145µm
_1769_,455.05µm
_2181_,453.56µm
_2989_,448.94µm
net455,446.06µm
net584,445.81µm
net47,444.51µm
net164,439.02µm
output_index\[2\],435.59µm
net359,423.99µm
_1060_,421.82µm
u_aes128_optimized.u_aes_core.state\[2\],419.06µm
net517,416.7µm
_1302_,416.17µm
net489,411.2µm
_0003_,405.36µm
net495,403.24µm
net165,402.4µm
_3019_,399.245µm
_2337_,394.98µm
_2998_,385.69µm
net163,383.16µm
net443,378.9µm
net396,377.28µm
_1726_,376.05µm
_1615_,373.4µm
_2121_,367.315µm
net536,364.66µm
net326,363.02µm
net580,358.28µm
net418,357.12µm
_1622_,356.14µm
net6,354.81µm
_1966_,354.34µm
net217,353.74µm
net564,351.78µm
net15,350.35µm
net20,349.33µm
net367,345.69µm
net9,344.95µm
_3027_,342.39µm
net608,342.36µm
net515,338.505µm
_2997_,337.9µm
net140,337.49µm
net632,333.62µm
net331,332.62µm
net606,331.11µm
net18,330.61µm
_2973_,327.54µm
_1049_,327.47µm
_2539_,324.82µm
_1809_,324.705µm
net576,323.32µm
_2956_,323.22µm
net414,323.13µm
net173,322.545µm
net183,322.44µm
_2920_,321.5µm
net437,320.06µm
net320,320µm
net450,319.2µm
_1450_,319µm
net99,317.75µm
_2232_,317.54µm
net627,317.54µm
net17,313.86µm
net578,313.16µm
_3021_,313µm
net159,312.55µm
net330,311.71µm
net631,311.11µm
_2436_,309.48µm
_3028_,308.26µm
_2386_,307.85µm
net562,307.43µm
net431,307.11µm
_2993_,306.91µm
net235,306.16µm
_2117_,304.49µm
net58,303.76µm
net194,302.02µm
net488,300.79µm
net790,300.06µm
_1611_,299.15µm
_2036_,297.275µm
_1618_,297.19µm
net171,297.12µm
net518,296.5µm
net563,295.91µm
net626,295.72µm
net110,295.22µm
net137,294.9µm
net740,293.92µm
net72,293.34µm
net452,293.01µm
_2952_,292.27µm
net440,291.59µm
net496,290.92µm
_1059_,290.36µm
_2987_,290.3µm
net421,289.855µm
net170,287.43µm
net131,286.88µm
net503,283.27µm
net305,281.6µm
net315,281.145µm
_2978_,279.52µm
net383,276.44µm
net129,275.46µm
net543,274µm
net68,272.14µm
net127,271.22µm
_1534_,270.65µm
net172,270.31µm
net16,269.02µm
net613,268.18µm
_1767_,268.17µm
net423,266.85µm
net589,266.49µm
_1366_,266.18µm
net108,266.085µm
net441,265.96µm
net168,265.78µm
_2284_,265.2µm
net570,264.01µm
net186,262.39µm
net634,260.865µm
net24,260.61µm
net449,260.32µm
net312,260.28µm
net303,260.15µm
net363,259.38µm
net187,259.3µm
net310,258.77µm
net29,258.38µm
net420,257.87µm
_2975_,257.77µm
clknet_4_3__leaf_clk,257.46µm
net582,256.22µm
net621,255.88µm
clk,254.2µm
net319,253.57µm
net8,251.86µm
_1062_,251.53µm
net25,251.43µm
u_aes128_optimized.u_aes_core.rcon_reg\[5\],249.72µm
net583,249.14µm
net422,247.795µm
net214,246.37µm
_1104_,246.19µm
net625,246.14µm
net307,245.88µm
net117,245.47µm
net94,244.165µm
net318,243.92µm
_1669_,243.72µm
net5,243.36µm
net154,242.61µm
net103,242.5µm
net599,242.29µm
net77,241.87µm
net404,241.58µm
u_aes128_optimized.u_aes_core.rcon_reg\[2\],241.14µm
net635,240.68µm
net448,240.635µm
net366,240.59µm
u_aes128_optimized.u_aes_core.rcon_reg\[1\],240.4µm
net314,239.12µm
net290,238.82µm
u_aes128_optimized.u_aes_core.state\[0\],238.275µm
net299,238.16µm
net611,237.54µm
net21,236.99µm
net46,236.92µm
net114,236.85µm
net38,236.43µm
net507,236.05µm
net585,233.97µm
clknet_4_2__leaf_clk,233.795µm
net304,232.99µm
_2983_,231.18µm
net505,230.405µm
net271,228.32µm
net22,227.98µm
net325,227.78µm
net579,227.145µm
net487,227.1µm
net126,226.66µm
net540,224.72µm
net135,224.36µm
net265,223.61µm
net329,223.61µm
_2961_,223.42µm
net527,223.32µm
net260,223.15µm
net71,223.06µm
net36,222.26µm
_1651_,221.72µm
_3015_,221.49µm
net96,220.41µm
net275,220.36µm
net603,219.48µm
net369,219.145µm
net612,218.94µm
net556,218.82µm
net123,218.62µm
_1539_,218.41µm
net581,217.86µm
net63,216.32µm
net524,216.31µm
net81,216.3µm
net43,215.98µm
net317,215.32µm
net142,215.17µm
net56,214.7µm
net406,214.64µm
net387,214.5µm
net293,214.28µm
net23,214.16µm
net713,213.83µm
net375,213.32µm
_2979_,213.22µm
net610,212.39µm
_1391_,211.26µm
net385,211.085µm
_1307_,210.94µm
clknet_4_7__leaf_clk,210.94µm
clknet_4_12__leaf_clk,210.14µm
net499,209.585µm
net215,209.02µm
net65,208.58µm
net365,207.67µm
net278,207.29µm
net698,207.11µm
net574,207.015µm
net395,207µm
net378,206.64µm
net372,206.16µm
net341,205.33µm
net240,205µm
clknet_4_8__leaf_clk,204.27µm
net295,203.305µm
net146,203.02µm
net560,202.96µm
net605,202.87µm
_2960_,202.47µm
net667,202.13µm
net80,202.1µm
net283,201.88µm
net199,201.8µm
net75,201.76µm
net434,201.47µm
net252,201.38µm
_2954_,201.23µm
net208,200.42µm
net439,199.71µm
_1421_,198.85µm
net112,198.225µm
_3025_,198.12µm
net157,197.6µm
net512,197.51µm
net54,197.48µm
net601,197.44µm
net244,197.295µm
net52,196.06µm
net609,195.87µm
net411,195.86µm
net145,195.62µm
net267,194.86µm
clknet_4_6__leaf_clk,194.55µm
net491,194.48µm
net97,194.14µm
net516,194.075µm
_1091_,193.56µm
net291,193.35µm
net534,192.36µm
net508,192.245µm
_1381_,192.18µm
net847,191.59µm
net160,191.38µm
net400,191.1µm
net391,190.87µm
net358,190.69µm
net19,190.14µm
net33,190.13µm
net586,189.61µm
net166,189.425µm
net344,189.36µm
net130,189.31µm
net442,189µm
net510,188.595µm
net616,188.425µm
net388,188.35µm
net392,188.32µm
net37,188.015µm
u_aes128_optimized.u_aes_core.shift_rows_out\[122\],187.62µm
net133,187.56µm
net471,187.53µm
net253,187.27µm
net249,186.85µm
net245,186.83µm
net185,185.9µm
net138,185.66µm
net223,185.35µm
net394,184.96µm
net79,184.77µm
_2930_,184.43µm
clknet_4_9__leaf_clk,184.03µm
_3002_,183.93µm
net288,183.78µm
_1741_,183.64µm
net633,183.56µm
u_aes128_optimized.u_aes_core.state\[9\],183.5µm
_1748_,183.47µm
net285,183.13µm
net789,183.13µm
net287,181.88µm
net548,181.79µm
net454,181.72µm
u_aes128_optimized.u_aes_core.shift_rows_out\[56\],181.22µm
net4,180.18µm
net445,180.105µm
clknet_4_4__leaf_clk,179.74µm
net598,179.065µm
net49,178.26µm
net60,178.26µm
net430,177.465µm
net301,176.65µm
net119,176.19µm
net300,176.02µm
net177,175.68µm
net250,174.8µm
_1047_,174.535µm
net622,174.16µm
net30,173.82µm
net247,173.7µm
u_aes128_optimized.u_aes_core.shift_rows_out\[121\],173.5µm
net237,173.17µm
_1608_,173.14µm
net620,172.14µm
_1043_,171.76µm
net339,171.72µm
net572,171.41µm
net417,171.29µm
_1531_,171.24µm
net538,170.84µm
net427,170.7µm
net41,170.23µm
net425,170.22µm
net61,169.9µm
net191,169.9µm
u_aes128_optimized.u_aes_core.shift_rows_out\[43\],169.145µm
net39,169.06µm
u_aes128_optimized.u_aes_core.shift_rows_out\[24\],168.365µm
_1899_,167.96µm
_1009_,167.91µm
plaintext_reg\[10\],167.81µm
_2962_,167.74µm
clknet_4_1__leaf_clk,167.72µm
net109,167.425µm
net415,167.315µm
clknet_4_10__leaf_clk,167.28µm
net433,166.9µm
net281,166.775µm
net356,166.58µm
net412,166.23µm
net308,166.09µm
net630,166.06µm
net497,166.05µm
net803,165.1µm
net480,164.88µm
net405,164.86µm
net139,164.58µm
net463,164.51µm
net102,164.18µm
_1145_,163.7µm
clknet_4_0__leaf_clk,163.64µm
net251,163.16µm
net429,163.045µm
net354,162.74µm
uo_out[4],162.49µm
net554,162.42µm
net221,162.06µm
net438,161.7µm
net193,161.66µm
clknet_4_11__leaf_clk,161.54µm
net447,161.11µm
net592,160.4µm
_1008_,160.32µm
plaintext_reg\[74\],160.03µm
_1046_,159.47µm
net156,158.62µm
clknet_leaf_36_clk,158.56µm
clknet_leaf_12_clk,158.54µm
net322,158.52µm
net531,158.1µm
net225,157.98µm
u_aes128_optimized.u_aes_core.round_key_reg\[37\],157.9µm
net462,157.775µm
_1648_,157.68µm
u_aes128_optimized.u_aes_core.round_key_reg\[26\],157.1µm
_1660_,157.06µm
u_aes128_optimized.u_aes_core.shift_rows_out\[123\],156.935µm
_1663_,156.79µm
net416,156.68µm
_1054_,156.46µm
net615,155.87µm
u_aes128_optimized.u_aes_core.state\[4\],155.86µm
net353,155.54µm
net617,155.49µm
_2990_,155.365µm
net125,155.23µm
net181,155.17µm
clknet_leaf_59_clk,154.92µm
net66,154.45µm
net328,154.23µm
net561,154.12µm
u_aes128_optimized.u_aes_core.shift_rows_out\[59\],154.03µm
net3,153.72µm
net393,153.51µm
net342,153.5µm
net212,153.44µm
_1048_,153.37µm
_2589_,152.93µm
net241,152.75µm
_1052_,152.24µm
_1891_,151.96µm
net408,151.45µm
_1194_,151.44µm
net239,151.34µm
net333,151.34µm
_2959_,151.17µm
_1997_,151.03µm
net501,150.855µm
net258,150.42µm
u_aes128_optimized.u_aes_core.round_key_reg\[102\],150.29µm
