Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_80_1466,VPWR,li1,677.8100,223.0400,1.800000
FILLER_80_1463,VPWR,li1,676.4300,223.0400,1.800000
FILLER_80_1460,VPWR,li1,675.0500,223.0400,1.800000
FILLER_80_1457,VPWR,li1,673.6700,223.0400,1.800000
FILLER_80_1453,VPWR,li1,671.8300,223.0400,1.800000
FILLER_80_1450,VPWR,li1,670.4500,223.0400,1.800000
FILLER_80_1447,VPWR,li1,669.0700,223.0400,1.800000
FILLER_80_1444,VPWR,li1,667.6900,223.0400,1.800000
FILLER_80_1441,VPWR,li1,666.3100,223.0400,1.800000
FILLER_80_1438,VPWR,li1,664.9300,223.0400,1.800000
FILLER_80_1435,VPWR,li1,663.5500,223.0400,1.800000
FILLER_80_1432,VPWR,li1,662.1700,223.0400,1.800000
FILLER_80_1429,VPWR,li1,660.7900,223.0400,1.800000
FILLER_80_1425,VPWR,li1,658.9500,223.0400,1.800000
FILLER_80_1422,VPWR,li1,657.5700,223.0400,1.800000
FILLER_80_1419,VPWR,li1,656.1900,223.0400,1.800000
FILLER_80_1416,VPWR,li1,654.8100,223.0400,1.800000
FILLER_80_1413,VPWR,li1,653.4300,223.0400,1.800000
FILLER_80_1410,VPWR,li1,652.0500,223.0400,1.800000
FILLER_80_1407,VPWR,li1,650.6700,223.0400,1.800000
FILLER_80_1404,VPWR,li1,649.2900,223.0400,1.800000
FILLER_80_1401,VPWR,li1,647.9100,223.0400,1.800000
FILLER_80_1397,VPWR,li1,646.0700,223.0400,1.800000
FILLER_80_1394,VPWR,li1,644.6900,223.0400,1.800000
FILLER_80_1391,VPWR,li1,643.3100,223.0400,1.800000
FILLER_80_1388,VPWR,li1,641.9300,223.0400,1.800000
FILLER_80_1385,VPWR,li1,640.5500,223.0400,1.800000
FILLER_80_1382,VPWR,li1,639.1700,223.0400,1.800000
FILLER_80_1379,VPWR,li1,637.7900,223.0400,1.800000
FILLER_80_1376,VPWR,li1,636.4100,223.0400,1.800000
